timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 03:51:46.155, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:46.168, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:46.171, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:46.173, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:50.826, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:50.901, 1, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:50.905, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:50.910, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:51:56.258, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:56.262, 1, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:56.265, 2, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:56.275, 3, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:59.634, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:59.637, 1, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:59.640, 2, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:51:59.643, 3, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:04.196, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:04.200, 1, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:04.213, 2, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:04.219, 3, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:07.450, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 03:52:07.452, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:52:07.455, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 03:52:07.458, 3, NVIDIA GH200 120GB, 0, 1, 97871
