timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 01:39:35.695, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 01:39:35.698, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 01:39:35.701, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 01:39:35.704, 3, NVIDIA GH200 120GB, 0, 2, 97871
2026/03/14 01:39:39.531, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 01:39:39.553, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 01:39:39.557, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 01:39:39.567, 3, NVIDIA GH200 120GB, 0, 2, 97871
