timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 00:00:27.993, 0, NVIDIA GH200 120GB, 0, 2, 97871
2026/03/14 00:00:27.996, 1, NVIDIA GH200 120GB, 0, 2, 97871
2026/03/14 00:00:27.999, 2, NVIDIA GH200 120GB, 0, 2, 97871
2026/03/14 00:00:28.002, 3, NVIDIA GH200 120GB, 0, 2, 97871
2026/03/14 00:00:31.329, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:31.332, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:31.335, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:31.338, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:34.756, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:34.759, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:34.762, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:34.765, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:38.207, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:38.211, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:38.214, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:38.217, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:42.216, 0, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:42.220, 1, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:42.223, 2, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:42.226, 3, NVIDIA GH200 120GB, 0, 1, 97871
2026/03/14 00:00:45.588, 0, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 00:00:45.591, 1, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 00:00:45.595, 2, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 00:00:45.598, 3, NVIDIA GH200 120GB, 0, 3, 97871
2026/03/14 00:00:48.896, 0, NVIDIA GH200 120GB, 0, 757, 97871
2026/03/14 00:00:48.899, 1, NVIDIA GH200 120GB, 0, 757, 97871
2026/03/14 00:00:48.901, 2, NVIDIA GH200 120GB, 0, 757, 97871
2026/03/14 00:00:48.903, 3, NVIDIA GH200 120GB, 0, 757, 97871
2026/03/14 00:00:52.103, 0, NVIDIA GH200 120GB, 0, 1147, 97871
2026/03/14 00:00:52.105, 1, NVIDIA GH200 120GB, 0, 1157, 97871
2026/03/14 00:00:52.107, 2, NVIDIA GH200 120GB, 0, 1177, 97871
2026/03/14 00:00:52.109, 3, NVIDIA GH200 120GB, 0, 1157, 97871
2026/03/14 00:00:55.330, 0, NVIDIA GH200 120GB, 0, 1951, 97871
2026/03/14 00:00:55.333, 1, NVIDIA GH200 120GB, 0, 1951, 97871
2026/03/14 00:00:55.336, 2, NVIDIA GH200 120GB, 0, 1951, 97871
2026/03/14 00:00:55.338, 3, NVIDIA GH200 120GB, 0, 1951, 97871
2026/03/14 00:00:58.506, 0, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:00:58.511, 1, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:00:58.514, 2, NVIDIA GH200 120GB, 0, 6055, 97871
2026/03/14 00:00:58.516, 3, NVIDIA GH200 120GB, 0, 6055, 97871
